condition_name,condition_slug,symptom_names,symptom_slugs,symptom_probabilities,text,num_symptoms,max_symptom_probability,mean_symptom_probability,urgent_score,gp_score,self_score,label,override_applied,text_len_words,label_numeric
Acute fatty liver of pregnancy (AFLP),acute-fatty-liver-of-pregnancy-aflp,"['Pain during pregnancy', 'Sharp abdominal pain', 'Itching of skin', 'Eye strain', 'Wrist weakness', 'Itchy eyelid', 'Nailbiting']","['pain-during-pregnancy', 'sharp-abdominal-pain', 'itching-of-skin', 'eye-strain', 'wrist-weakness', 'itchy-eyelid', 'nailbiting']","[51, 51, 51, 4, 4, 4, 4]","Condition: Acute fatty liver of pregnancy (AFLP). Patient reports: Pain during pregnancy, Sharp abdominal pain, Itching of skin, Eye strain, Wrist weakness, Itchy eyelid, Nailbiting.",7,51,24.142857142857142,0,1,0,consult_gp,False,25,1
Alopecia,alopecia,"['Too little hair', 'Irregular appearing scalp', 'Skin rash', 'Skin swelling', 'Abnormal appearing skin', 'Dry or flaky scalp', 'Acne or pimples']","['too-little-hair', 'irregular-appearing-scalp', 'skin-rash', 'skin-swelling', 'abnormal-appearing-skin', 'dry-or-flaky-scalp', 'acne-or-pimples']","[94, 28, 26, 19, 19, 16, 16]","Condition: Alopecia. Patient reports: Too little hair, Irregular appearing scalp, Skin rash, Skin swelling, Abnormal appearing skin, Dry or flaky scalp, Acne or pimples.",7,94,31.142857142857142,0,1,0,consult_gp,False,24,1
Osteoarthritis,osteoarthritis,"['Knee pain', 'Hip pain', 'Shoulder pain', 'Back pain', 'Leg pain', 'Hand or finger pain', 'Joint pain']","['knee-pain', 'hip-pain', 'shoulder-pain', 'back-pain', 'leg-pain', 'hand-or-finger-pain', 'joint-pain']","[77, 41, 41, 33, 31, 26, 22]","Condition: Osteoarthritis. Patient reports: Knee pain, Hip pain, Shoulder pain, Back pain, Leg pain, Hand or finger pain, Joint pain.",7,77,38.71428571428572,0,2,0,self_monitor,True,20,0
Esophagitis,esophagitis,"['Sharp chest pain', 'Sharp abdominal pain', 'Vomiting', 'Difficulty in swallowing', 'Nausea', 'Heartburn', 'Upper abdominal pain']","['sharp-chest-pain', 'sharp-abdominal-pain', 'vomiting', 'difficulty-in-swallowing', 'nausea', 'heartburn', 'upper-abdominal-pain']","[66, 53, 50, 47, 40, 39, 33]","Condition: Esophagitis. Patient reports: Sharp chest pain, Sharp abdominal pain, Vomiting, Difficulty in swallowing, Nausea, Heartburn, Upper abdominal pain.",7,66,46.85714285714285,1,2,1,urgent,False,19,2
Acne,acne,"['Acne or pimples', 'Skin rash', 'Abnormal appearing skin', 'Skin moles', 'Skin swelling', 'Skin growth', 'Warts']","['acne-or-pimples', 'skin-rash', 'abnormal-appearing-skin', 'skin-moles', 'skin-swelling', 'skin-growth', 'warts']","[94, 38, 21, 20, 17, 13, 10]","Condition: Acne. Patient reports: Acne or pimples, Skin rash, Abnormal appearing skin, Skin moles, Skin swelling, Skin growth, Warts.",7,94,30.428571428571427,0,1,0,consult_gp,False,19,1
Frostbite,frostbite,"['Loss of sensation', 'Foot or toe pain', 'Ache all over', 'Hand or finger swelling', 'Sharp chest pain', 'Fainting', 'Back pain']","['loss-of-sensation', 'foot-or-toe-pain', 'ache-all-over', 'hand-or-finger-swelling', 'sharp-chest-pain', 'fainting', 'back-pain']","[55, 55, 37, 37, 37, 37, 37]","Condition: Frostbite. Patient reports: Loss of sensation, Foot or toe pain, Ache all over, Hand or finger swelling, Sharp chest pain, Fainting, Back pain.",7,55,42.142857142857146,2,1,0,urgent,False,24,2
Dislocation of the vertebra,dislocation-of-the-vertebra,"['Neck pain', 'Back pain', 'Low back pain', 'Bones are painful', 'Hand or finger pain', 'Leg pain', 'Loss of sensation']","['neck-pain', 'back-pain', 'low-back-pain', 'bones-are-painful', 'hand-or-finger-pain', 'leg-pain', 'loss-of-sensation']","[77, 70, 59, 41, 41, 41, 41]","Condition: Dislocation of the vertebra. Patient reports: Neck pain, Back pain, Low back pain, Bones are painful, Hand or finger pain, Leg pain, Loss of sensation.",7,77,52.85714285714285,0,1,0,consult_gp,False,26,1
Mastectomy,mastectomy,"['Lump or mass of breast', 'Pain or soreness of breast', 'Problems with shape or size of breast', 'Skin swelling', 'Arm stiffness or tightness', 'Smoking problems', 'Burning chest pain']","['lump-or-mass-of-breast', 'pain-or-soreness-of-breast', 'problems-with-shape-or-size-of-breast', 'skin-swelling', 'arm-stiffness-or-tightness', 'smoking-problems', 'burning-chest-pain']","[21, 21, 8, 8, 4, 4, 4]","Condition: Mastectomy. Patient reports: Lump or mass of breast, Pain or soreness of breast, Problems with shape or size of breast, Skin swelling, Arm stiffness or tightness, Smoking problems, Burning chest pain.",7,21,10.0,1,0,0,urgent,False,32,2
Dislocation of the foot,dislocation-of-the-foot,"['Foot or toe pain', 'Vomiting', 'Ankle pain', 'Knee weakness', 'Elbow weakness', 'Elbow cramps or spasms', 'Eye strain']","['foot-or-toe-pain', 'vomiting', 'ankle-pain', 'knee-weakness', 'elbow-weakness', 'elbow-cramps-or-spasms', 'eye-strain']","[78, 37, 37, 37, 3, 3, 3]","Condition: Dislocation of the foot. Patient reports: Foot or toe pain, Vomiting, Ankle pain, Knee weakness, Elbow weakness, Elbow cramps or spasms, Eye strain.",7,78,28.285714285714285,0,1,0,consult_gp,False,24,1
Peyronie disease,peyronie-disease,"['Impotence', 'Penis pain', 'Symptoms of prostate', 'Mass in scrotum', 'Frequent urination', 'Sweating', 'Infertility']","['impotence', 'penis-pain', 'symptoms-of-prostate', 'mass-in-scrotum', 'frequent-urination', 'sweating', 'infertility']","[67, 58, 34, 20, 20, 20, 20]","Condition: Peyronie disease. Patient reports: Impotence, Penis pain, Symptoms of prostate, Mass in scrotum, Frequent urination, Sweating, Infertility.",7,67,34.142857142857146,0,0,0,self_monitor,False,18,0
Foreign body in the throat,foreign-body-in-the-throat,"['Difficulty in swallowing', 'Vomiting', 'Sore throat', 'Cough', 'Shortness of breath', 'Difficulty breathing', 'Infant spitting up']","['difficulty-in-swallowing', 'vomiting', 'sore-throat', 'cough', 'shortness-of-breath', 'difficulty-breathing', 'infant-spitting-up']","[78, 58, 47, 43, 39, 39, 17]","Condition: Foreign body in the throat. Patient reports: Difficulty in swallowing, Vomiting, Sore throat, Cough, Shortness of breath, Difficulty breathing, Infant spitting up.",7,78,45.85714285714285,2,2,0,urgent,False,23,2
Smoking or tobacco addiction,smoking-or-tobacco-addiction,"['Smoking problems', 'Cough', 'Sharp chest pain', 'Shortness of breath', 'Headache', 'Drug abuse', 'Abusing alcohol']","['smoking-problems', 'cough', 'sharp-chest-pain', 'shortness-of-breath', 'headache', 'drug-abuse', 'abusing-alcohol']","[44, 42, 34, 31, 26, 25, 22]","Condition: Smoking or tobacco addiction. Patient reports: Smoking problems, Cough, Sharp chest pain, Shortness of breath, Headache, Drug abuse, Abusing alcohol.",7,44,32.0,2,1,0,urgent,False,21,2
Granuloma inguinale,granuloma-inguinale,"['Nausea', 'Sharp chest pain', 'Groin pain', 'Vaginal pain', 'Vulvar sore', 'Loss of sex drive', 'Knee lump or mass']","['nausea', 'sharp-chest-pain', 'groin-pain', 'vaginal-pain', 'vulvar-sore', 'loss-of-sex-drive', 'knee-lump-or-mass']","[77, 77, 77, 77, 11, 11, 11]","Condition: Granuloma inguinale. Patient reports: Nausea, Sharp chest pain, Groin pain, Vaginal pain, Vulvar sore, Loss of sex drive, Knee lump or mass.",7,77,48.71428571428572,1,0,0,urgent,False,23,2
Diabetic peripheral neuropathy,diabetic-peripheral-neuropathy,"['Skin lesion', 'Foot or toe pain', 'Loss of sensation', 'Leg pain', 'Paresthesia', 'Problems with movement', 'Foot or toe swelling']","['skin-lesion', 'foot-or-toe-pain', 'loss-of-sensation', 'leg-pain', 'paresthesia', 'problems-with-movement', 'foot-or-toe-swelling']","[48, 37, 33, 31, 22, 11, 9]","Condition: Diabetic peripheral neuropathy. Patient reports: Skin lesion, Foot or toe pain, Loss of sensation, Leg pain, Paresthesia, Problems with movement, Foot or toe swelling.",7,48,27.285714285714285,0,0,0,self_monitor,False,25,0
Acute kidney injury,acute-kidney-injury,"['Shortness of breath', 'Weakness', 'Vomiting', 'Dizziness', 'Nausea', 'Sharp abdominal pain', 'Sharp chest pain']","['shortness-of-breath', 'weakness', 'vomiting', 'dizziness', 'nausea', 'sharp-abdominal-pain', 'sharp-chest-pain']","[41, 39, 30, 29, 27, 26, 25]","Condition: Acute kidney injury. Patient reports: Shortness of breath, Weakness, Vomiting, Dizziness, Nausea, Sharp abdominal pain, Sharp chest pain.",7,41,31.0,2,3,0,urgent,False,19,2
Empyema,empyema,"['Cough', 'Shortness of breath', 'Hurts to breath', 'Back pain', 'Sharp chest pain', 'Coryza', 'Skin rash']","['cough', 'shortness-of-breath', 'hurts-to-breath', 'back-pain', 'sharp-chest-pain', 'coryza', 'skin-rash']","[69, 63, 44, 44, 44, 44, 28]","Condition: Empyema. Patient reports: Cough, Shortness of breath, Hurts to breath, Back pain, Sharp chest pain, Coryza, Skin rash.",7,69,48.0,2,2,0,urgent,False,19,2
Plague,plague,"['Acne or pimples', 'Sharp abdominal pain', 'Knee lump or mass', 'Excessive growth', 'Wrist weakness', 'Vulvar sore', 'Neck cramps or spasms']","['acne-or-pimples', 'sharp-abdominal-pain', 'knee-lump-or-mass', 'excessive-growth', 'wrist-weakness', 'vulvar-sore', 'neck-cramps-or-spasms']","[77, 77, 11, 11, 11, 11, 11]","Condition: Plague. Patient reports: Acne or pimples, Sharp abdominal pain, Knee lump or mass, Excessive growth, Wrist weakness, Vulvar sore, Neck cramps or spasms.",7,77,29.857142857142858,0,1,0,consult_gp,False,24,1
Nerve impingement near the shoulder,nerve-impingement-near-the-shoulder,"['Shoulder pain', 'Knee pain', 'Neck pain', 'Arm pain', 'Shoulder stiffness or tightness', 'Problems with movement', 'Elbow pain']","['shoulder-pain', 'knee-pain', 'neck-pain', 'arm-pain', 'shoulder-stiffness-or-tightness', 'problems-with-movement', 'elbow-pain']","[96, 32, 32, 29, 16, 13, 9]","Condition: Nerve impingement near the shoulder. Patient reports: Shoulder pain, Knee pain, Neck pain, Arm pain, Shoulder stiffness or tightness, Problems with movement, Elbow pain.",7,96,32.42857142857143,0,0,0,self_monitor,False,25,0
Glaucoma,glaucoma,"['Diminished vision', 'Pain in eye', 'Symptoms of eye', 'Spots or clouds in vision', 'Eye redness', 'Lacrimation', 'Itchiness of eye']","['diminished-vision', 'pain-in-eye', 'symptoms-of-eye', 'spots-or-clouds-in-vision', 'eye-redness', 'lacrimation', 'itchiness-of-eye']","[46, 32, 26, 19, 16, 13, 8]","Condition: Glaucoma. Patient reports: Diminished vision, Pain in eye, Symptoms of eye, Spots or clouds in vision, Eye redness, Lacrimation, Itchiness of eye.",7,46,22.857142857142858,0,0,0,self_monitor,False,23,0
Aortic valve disease,aortic-valve-disease,"['Shortness of breath', 'Fatigue', 'Sharp chest pain', 'Difficulty breathing', 'Palpitations', 'Fainting', 'Peripheral edema']","['shortness-of-breath', 'fatigue', 'sharp-chest-pain', 'difficulty-breathing', 'palpitations', 'fainting', 'peripheral-edema']","[54, 32, 32, 28, 18, 16, 14]","Condition: Aortic valve disease. Patient reports: Shortness of breath, Fatigue, Sharp chest pain, Difficulty breathing, Palpitations, Fainting, Peripheral edema.",7,54,27.714285714285715,4,3,0,urgent,False,19,2
Gout,gout,"['Foot or toe pain', 'Knee pain', 'Foot or toe swelling', 'Ankle pain', 'Wrist pain', 'Hand or finger pain', 'Hand or finger swelling']","['foot-or-toe-pain', 'knee-pain', 'foot-or-toe-swelling', 'ankle-pain', 'wrist-pain', 'hand-or-finger-pain', 'hand-or-finger-swelling']","[75, 48, 43, 35, 29, 27, 16]","Condition: Gout. Patient reports: Foot or toe pain, Knee pain, Foot or toe swelling, Ankle pain, Wrist pain, Hand or finger pain, Hand or finger swelling.",7,75,39.0,0,0,0,self_monitor,True,26,0
Appendicitis,appendicitis,"['Sharp abdominal pain', 'Lower abdominal pain', 'Vomiting', 'Nausea', 'Fever', 'Burning abdominal pain', 'Side pain']","['sharp-abdominal-pain', 'lower-abdominal-pain', 'vomiting', 'nausea', 'fever', 'burning-abdominal-pain', 'side-pain']","[91, 64, 57, 54, 44, 41, 29]","Condition: Appendicitis. Patient reports: Sharp abdominal pain, Lower abdominal pain, Vomiting, Nausea, Fever, Burning abdominal pain, Side pain.",7,91,54.285714285714285,0,3,0,urgent,True,18,2
Lyme disease,lyme-disease,"['Fever', 'Skin rash', 'Headache', 'Fatigue', 'Abnormal appearing skin', 'Loss of sensation', 'Depressive or psychotic symptoms']","['fever', 'skin-rash', 'headache', 'fatigue', 'abnormal-appearing-skin', 'loss-of-sensation', 'depressive-or-psychotic-symptoms']","[49, 46, 46, 42, 37, 26, 26]","Condition: Lyme disease. Patient reports: Fever, Skin rash, Headache, Fatigue, Abnormal appearing skin, Loss of sensation, Depressive or psychotic symptoms.",7,49,38.85714285714285,0,4,0,consult_gp,False,20,1
Muscular dystrophy,muscular-dystrophy,"['Fatigue', 'Headache', 'Muscle weakness', 'Cough', 'Weakness', 'Nasal congestion', 'Loss of sensation']","['fatigue', 'headache', 'muscle-weakness', 'cough', 'weakness', 'nasal-congestion', 'loss-of-sensation']","[48, 34, 34, 34, 28, 28, 20]","Condition: Muscular dystrophy. Patient reports: Fatigue, Headache, Muscle weakness, Cough, Weakness, Nasal congestion, Loss of sensation.",7,48,32.285714285714285,0,2,1,consult_gp,False,16,1
Chronic glaucoma,chronic-glaucoma,"['Diminished vision', 'Pain in eye', 'Symptoms of eye', 'Spots or clouds in vision', 'Lacrimation', 'Foreign body sensation in eye', 'Blindness']","['diminished-vision', 'pain-in-eye', 'symptoms-of-eye', 'spots-or-clouds-in-vision', 'lacrimation', 'foreign-body-sensation-in-eye', 'blindness']","[62, 30, 28, 26, 15, 13, 12]","Condition: Chronic glaucoma. Patient reports: Diminished vision, Pain in eye, Symptoms of eye, Spots or clouds in vision, Lacrimation, Foreign body sensation in eye, Blindness.",7,62,26.571428571428573,0,0,0,self_monitor,False,25,0
Foreign body in the eye,foreign-body-in-the-eye,"['Pain in eye', 'Eye redness', 'Foreign body sensation in eye', 'Eye burns or stings', 'Lacrimation', 'Symptoms of eye', 'Swollen eye']","['pain-in-eye', 'eye-redness', 'foreign-body-sensation-in-eye', 'eye-burns-or-stings', 'lacrimation', 'symptoms-of-eye', 'swollen-eye']","[79, 47, 38, 22, 18, 13, 13]","Condition: Foreign body in the eye. Patient reports: Pain in eye, Eye redness, Foreign body sensation in eye, Eye burns or stings, Lacrimation, Symptoms of eye, Swollen eye.",7,79,32.857142857142854,0,0,0,self_monitor,False,28,0
Chronic obstructive pulmonary disease (COPD),chronic-obstructive-pulmonary-disease-copd,"['Cough', 'Shortness of breath', 'Nasal congestion', 'Fever', 'Sore throat', 'Difficulty breathing', 'Sharp chest pain']","['cough', 'shortness-of-breath', 'nasal-congestion', 'fever', 'sore-throat', 'difficulty-breathing', 'sharp-chest-pain']","[83, 70, 54, 49, 42, 39, 39]","Condition: Chronic obstructive pulmonary disease (COPD). Patient reports: Cough, Shortness of breath, Nasal congestion, Fever, Sore throat, Difficulty breathing, Sharp chest pain.",7,83,53.71428571428572,3,2,1,urgent,False,22,2
Leishmaniasis,leishmaniasis,"['Pain in eye', 'Shoulder cramps or spasms', 'Facial pain', 'Ankle pain', 'Wrist pain', 'Pain during pregnancy', 'Excessive anger']","['pain-in-eye', 'shoulder-cramps-or-spasms', 'facial-pain', 'ankle-pain', 'wrist-pain', 'pain-during-pregnancy', 'excessive-anger']","[91, 91, 91, 91, 91, 91, 91]","Condition: Leishmaniasis. Patient reports: Pain in eye, Shoulder cramps or spasms, Facial pain, Ankle pain, Wrist pain, Pain during pregnancy, Excessive anger.",7,91,91.0,0,0,0,self_monitor,False,22,0
Spermatocele,spermatocele,"['Pain in testicles', 'Mass in scrotum', 'Swelling of scrotum', 'Retention of urine', 'Groin pain', 'Frequent urination', 'Skin growth']","['pain-in-testicles', 'mass-in-scrotum', 'swelling-of-scrotum', 'retention-of-urine', 'groin-pain', 'frequent-urination', 'skin-growth']","[75, 60, 41, 41, 41, 26, 26]","Condition: Spermatocele. Patient reports: Pain in testicles, Mass in scrotum, Swelling of scrotum, Retention of urine, Groin pain, Frequent urination, Skin growth.",7,75,44.285714285714285,0,0,0,self_monitor,False,22,0
Epidural hemorrhage,epidural-hemorrhage,"['Back pain', 'Depressive or psychotic symptoms', 'Side pain', 'Dizziness', 'Leg pain', 'Diminished hearing', 'Elbow weakness']","['back-pain', 'depressive-or-psychotic-symptoms', 'side-pain', 'dizziness', 'leg-pain', 'diminished-hearing', 'elbow-weakness']","[63, 63, 45, 45, 45, 45, 3]","Condition: Epidural hemorrhage. Patient reports: Back pain, Depressive or psychotic symptoms, Side pain, Dizziness, Leg pain, Diminished hearing, Elbow weakness.",7,63,44.142857142857146,0,2,0,consult_gp,False,20,1
Envenomation from spider or animal bite,envenomation-from-spider-or-animal-bite,"['Allergic reaction', 'Skin rash', 'Itching of skin', 'Hand or finger swelling', 'Abnormal appearing skin', 'Fluid retention', 'Foot or toe swelling']","['allergic-reaction', 'skin-rash', 'itching-of-skin', 'hand-or-finger-swelling', 'abnormal-appearing-skin', 'fluid-retention', 'foot-or-toe-swelling']","[42, 35, 35, 34, 27, 18, 16]","Condition: Envenomation from spider or animal bite. Patient reports: Allergic reaction, Skin rash, Itching of skin, Hand or finger swelling, Abnormal appearing skin, Fluid retention, Foot or toe swelling.",7,42,29.571428571428573,0,1,0,consult_gp,False,29,1
Breast cancer,breast-cancer,"['Lump or mass of breast', 'Pain or soreness of breast', 'Hot flashes', 'Bleeding or discharge from nipple', 'Joint stiffness or tightness']","['lump-or-mass-of-breast', 'pain-or-soreness-of-breast', 'hot-flashes', 'bleeding-or-discharge-from-nipple', 'joint-stiffness-or-tightness']","[21, 9, 7, 2, 2]","Condition: Breast cancer. Patient reports: Lump or mass of breast, Pain or soreness of breast, Hot flashes, Bleeding or discharge from nipple, Joint stiffness or tightness.",5,21,8.2,0,0,0,self_monitor,False,26,0
Viral warts,viral-warts,"['Warts', 'Skin lesion', 'Skin growth', 'Abnormal appearing skin', 'Skin moles', 'Acne or pimples', 'Bumps on penis']","['warts', 'skin-lesion', 'skin-growth', 'abnormal-appearing-skin', 'skin-moles', 'acne-or-pimples', 'bumps-on-penis']","[87, 41, 24, 23, 17, 16, 12]","Condition: Viral warts. Patient reports: Warts, Skin lesion, Skin growth, Abnormal appearing skin, Skin moles, Acne or pimples, Bumps on penis.",7,87,31.428571428571427,0,0,0,self_monitor,True,21,0
Open wound of the neck,open-wound-of-the-neck,"['Skin lesion', 'Ache all over', 'Abnormal appearing skin', 'Peripheral edema', 'Foot or toe swelling', 'Skin swelling', 'Sweating']","['skin-lesion', 'ache-all-over', 'abnormal-appearing-skin', 'peripheral-edema', 'foot-or-toe-swelling', 'skin-swelling', 'sweating']","[38, 25, 21, 17, 6, 6, 6]","Condition: Open wound of the neck. Patient reports: Skin lesion, Ache all over, Abnormal appearing skin, Peripheral edema, Foot or toe swelling, Skin swelling, Sweating.",7,38,17.0,0,1,0,consult_gp,False,25,1
Magnesium deficiency,magnesium-deficiency,"['Dizziness', 'Sharp abdominal pain', 'Leg pain', 'Sharp chest pain', 'Palpitations', 'Vomiting', 'Weakness']","['dizziness', 'sharp-abdominal-pain', 'leg-pain', 'sharp-chest-pain', 'palpitations', 'vomiting', 'weakness']","[49, 49, 43, 36, 36, 36, 36]","Condition: Magnesium deficiency. Patient reports: Dizziness, Sharp abdominal pain, Leg pain, Sharp chest pain, Palpitations, Vomiting, Weakness.",7,49,40.71428571428572,1,4,0,urgent,False,17,2
Placental abruption,placental-abruption,"['Spotting or bleeding during pregnancy', 'Uterine contractions', 'Nausea', 'Lower abdominal pain', 'Cramps and spasms', 'Problems during pregnancy', 'Cross-eyed']","['spotting-or-bleeding-during-pregnancy', 'uterine-contractions', 'nausea', 'lower-abdominal-pain', 'cramps-and-spasms', 'problems-during-pregnancy', 'cross-eyed']","[79, 69, 51, 51, 51, 51, 4]","Condition: Placental abruption. Patient reports: Spotting or bleeding during pregnancy, Uterine contractions, Nausea, Lower abdominal pain, Cramps and spasms, Problems during pregnancy, Cross-eyed.",7,79,50.85714285714285,0,1,0,urgent,True,23,2
Lewy body dementia,lewy-body-dementia,"['Disturbance of memory', 'Delusions or hallucinations', 'Abnormal involuntary movements', 'Problems with movement', 'Loss of sensation', 'Depressive or psychotic symptoms', 'Dizziness']","['disturbance-of-memory', 'delusions-or-hallucinations', 'abnormal-involuntary-movements', 'problems-with-movement', 'loss-of-sensation', 'depressive-or-psychotic-symptoms', 'dizziness']","[68, 59, 53, 53, 35, 35, 35]","Condition: Lewy body dementia. Patient reports: Disturbance of memory, Delusions or hallucinations, Abnormal involuntary movements, Problems with movement, Loss of sensation, Depressive or psychotic symptoms, Dizziness.",7,68,48.285714285714285,0,1,0,consult_gp,False,26,1
Friedrich ataxia,friedrich-ataxia,"['Ear pain', 'Flatulence', 'Peripheral edema', 'Wheezing', 'Arm weakness', 'Arm pain', 'Cough']","['ear-pain', 'flatulence', 'peripheral-edema', 'wheezing', 'arm-weakness', 'arm-pain', 'cough']","[87, 72, 72, 72, 72, 72, 72]","Condition: Friedrich ataxia. Patient reports: Ear pain, Flatulence, Peripheral edema, Wheezing, Arm weakness, Arm pain, Cough.",7,87,74.14285714285714,1,2,1,urgent,False,16,2
Tooth abscess,tooth-abscess,"['Toothache', 'Peripheral edema', 'Facial pain', 'Jaw swelling', 'Gum pain', 'Mouth pain', 'Skin swelling']","['toothache', 'peripheral-edema', 'facial-pain', 'jaw-swelling', 'gum-pain', 'mouth-pain', 'skin-swelling']","[93, 57, 52, 41, 40, 26, 18]","Condition: Tooth abscess. Patient reports: Toothache, Peripheral edema, Facial pain, Jaw swelling, Gum pain, Mouth pain, Skin swelling.",7,93,46.71428571428572,0,1,0,consult_gp,False,18,1
Hemophilia,hemophilia,"['Leg pain', 'Cough', 'Headache', 'Bleeding gums', 'Frontal headache', 'Melena', 'Uterine contractions']","['leg-pain', 'cough', 'headache', 'bleeding-gums', 'frontal-headache', 'melena', 'uterine-contractions']","[29, 25, 25, 14, 8, 8, 8]","Condition: Hemophilia. Patient reports: Leg pain, Cough, Headache, Bleeding gums, Frontal headache, Melena, Uterine contractions.",7,29,16.714285714285715,1,1,0,urgent,False,15,2
Osteochondrosis,osteochondrosis,"['Knee pain', 'Foot or toe pain', 'Bowlegged or knock-kneed', 'Ankle pain', 'Bones are painful', 'Knee weakness', 'Hand or finger pain']","['knee-pain', 'foot-or-toe-pain', 'bowlegged-or-knock-kneed', 'ankle-pain', 'bones-are-painful', 'knee-weakness', 'hand-or-finger-pain']","[84, 68, 40, 35, 21, 21, 21]","Condition: Osteochondrosis. Patient reports: Knee pain, Foot or toe pain, Bowlegged or knock-kneed, Ankle pain, Bones are painful, Knee weakness, Hand or finger pain.",7,84,41.42857142857143,0,0,0,self_monitor,False,24,0
Alcohol abuse,alcohol-abuse,"['Abusing alcohol', 'Depressive or psychotic symptoms', 'Drug abuse', 'Depression', 'Anxiety and nervousness', 'Hostile behavior', 'Delusions or hallucinations']","['abusing-alcohol', 'depressive-or-psychotic-symptoms', 'drug-abuse', 'depression', 'anxiety-and-nervousness', 'hostile-behavior', 'delusions-or-hallucinations']","[75, 49, 41, 38, 27, 8, 8]","Condition: Alcohol abuse. Patient reports: Abusing alcohol, Depressive or psychotic symptoms, Drug abuse, Depression, Anxiety and nervousness, Hostile behavior, Delusions or hallucinations.",7,75,35.142857142857146,0,0,0,self_monitor,False,22,0
Otitis media,otitis-media,"['Ear pain', 'Fever', 'Cough', 'Nasal congestion', 'Sore throat', 'Vomiting', 'Redness in ear']","['ear-pain', 'fever', 'cough', 'nasal-congestion', 'sore-throat', 'vomiting', 'redness-in-ear']","[86, 76, 71, 59, 41, 33, 33]","Condition: Otitis media. Patient reports: Ear pain, Fever, Cough, Nasal congestion, Sore throat, Vomiting, Redness in ear.",7,86,57.0,0,4,1,consult_gp,False,17,1
Parkinson disease,parkinson-disease,"['Abnormal involuntary movements', 'Problems with movement', 'Disturbance of memory', 'Dizziness', 'Weakness', 'Stiffness all over', 'Leg weakness']","['abnormal-involuntary-movements', 'problems-with-movement', 'disturbance-of-memory', 'dizziness', 'weakness', 'stiffness-all-over', 'leg-weakness']","[64, 41, 28, 25, 22, 7, 7]","Condition: Parkinson disease. Patient reports: Abnormal involuntary movements, Problems with movement, Disturbance of memory, Dizziness, Weakness, Stiffness all over, Leg weakness.",7,64,27.714285714285715,1,1,0,urgent,False,21,2
Spina bifida,spina-bifida,"['Back pain', 'Skin lesion', 'Headache', 'Involuntary urination', 'Joint pain', 'Disturbance of memory', 'Drainage in throat']","['back-pain', 'skin-lesion', 'headache', 'involuntary-urination', 'joint-pain', 'disturbance-of-memory', 'drainage-in-throat']","[35, 33, 25, 12, 9, 9, 5]","Condition: Spina bifida. Patient reports: Back pain, Skin lesion, Headache, Involuntary urination, Joint pain, Disturbance of memory, Drainage in throat.",7,35,18.285714285714285,0,3,0,consult_gp,False,20,1
Concussion,concussion,"['Headache', 'Dizziness', 'Neck pain', 'Vomiting', 'Disturbance of memory', 'Nausea', 'Back pain']","['headache', 'dizziness', 'neck-pain', 'vomiting', 'disturbance-of-memory', 'nausea', 'back-pain']","[83, 49, 45, 31, 30, 29, 28]","Condition: Concussion. Patient reports: Headache, Dizziness, Neck pain, Vomiting, Disturbance of memory, Nausea, Back pain.",7,83,42.142857142857146,0,4,0,consult_gp,False,15,1
Fungal infection of the skin,fungal-infection-of-the-skin,"['Skin rash', 'Itching of skin', 'Abnormal appearing skin', 'Skin lesion', 'Irregular appearing scalp', 'Skin swelling', 'Too little hair']","['skin-rash', 'itching-of-skin', 'abnormal-appearing-skin', 'skin-lesion', 'irregular-appearing-scalp', 'skin-swelling', 'too-little-hair']","[86, 41, 35, 28, 22, 19, 15]","Condition: Fungal infection of the skin. Patient reports: Skin rash, Itching of skin, Abnormal appearing skin, Skin lesion, Irregular appearing scalp, Skin swelling, Too little hair.",7,86,35.142857142857146,0,1,0,consult_gp,False,26,1
Pneumonia,pneumonia,"['Cough', 'Fever', 'Shortness of breath', 'Sharp chest pain', 'Nasal congestion', 'Difficulty breathing', 'Vomiting']","['cough', 'fever', 'shortness-of-breath', 'sharp-chest-pain', 'nasal-congestion', 'difficulty-breathing', 'vomiting']","[82, 75, 69, 46, 44, 43, 41]","Condition: Pneumonia. Patient reports: Cough, Fever, Shortness of breath, Sharp chest pain, Nasal congestion, Difficulty breathing, Vomiting.",7,82,57.142857142857146,3,2,1,urgent,False,17,2
Onychomycosis,onychomycosis,"['Skin rash', 'Irregular appearing nails', 'Foot or toe pain', 'Abnormal appearing skin', 'Diaper rash', 'Itching of skin', 'Skin growth']","['skin-rash', 'irregular-appearing-nails', 'foot-or-toe-pain', 'abnormal-appearing-skin', 'diaper-rash', 'itching-of-skin', 'skin-growth']","[66, 61, 41, 28, 28, 21, 21]","Condition: Onychomycosis. Patient reports: Skin rash, Irregular appearing nails, Foot or toe pain, Abnormal appearing skin, Diaper rash, Itching of skin, Skin growth.",7,66,38.0,0,1,0,self_monitor,True,23,0
